frame_id,track_id,x_center,y_center,width,height,confidence,class_name,x1,y1,x2,y2
2,12,1000.6234130859375,262.89312744140625,31.282898,83.87958,0.7853449,player,984.982,220.95334,1016.2649,304.83292
2,13,731.2008056640625,511.2612609863281,54.537903,109.33392,0.70221066,player,703.9318,456.5943,758.4697,565.9282
2,14,877.5631103515625,239.0902099609375,45.13379,81.92244,0.8288352,player,854.9962,198.12898,900.13,280.05142
2,15,1172.205322265625,143.33853149414062,30.777466,66.7908,0.79470783,player,1156.8165,109.94313,1187.594,176.73393
2,16,425.66986083984375,177.67559814453125,41.848663,63.78064,0.7164295,player,404.74554,145.78528,446.5942,209.56592
2,17,232.8018035888672,73.18126678466797,41.452423,64.799545,0.6710166,referee,212.07559,40.781494,253.52802,105.58104
2,18,908.2669677734375,317.341796875,47.95764,84.1803,0.7357149,player,884.28815,275.25165,932.2458,359.43195
3,1,1180.08056640625,832.3303833007812,58.05188,136.58386,0.8976529,player,1151.0547,764.03845,1209.1066,900.6223
3,2,1498.104248046875,600.740478515625,58.078857,107.51752,0.80750746,referee,1469.0648,546.9817,1527.1437,654.4992
3,3,1042.7047119140625,461.173828125,49.10199,100.85062,0.90026385,player,1018.15375,410.7485,1067.2557,511.59912
3,4,630.4002075195312,620.3508911132812,60.325195,102.54443,0.8502725,player,600.2376,569.0787,660.5628,671.6231
3,5,599.7645263671875,450.77880859375,65.30737,99.25064,0.79086494,player,567.11084,401.15347,632.4182,500.4041
3,6,1412.0169677734375,394.164794921875,39.89673,100.6525,0.8751349,player,1392.0686,343.83856,1431.9653,444.49106
3,7,1752.730224609375,348.487548828125,36.987793,99.32089,0.8888235,player,1734.2363,298.8271,1771.2241,398.14798
3,8,488.2655029296875,344.8433532714844,39.75894,91.77124,0.834221,player,468.38602,298.95773,508.14496,390.72897
3,9,458.4293212890625,253.47625732421875,48.117493,77.72954,0.7846085,player,434.37057,214.6115,482.48807,292.34103
3,10,958.7538452148438,381.0252990722656,46.235718,83.320496,0.8273515,player,935.636,339.36505,981.8717,422.68555
3,11,1170.19921875,306.41119384765625,41.807617,83.56094,0.8196022,player,1149.2954,264.63074,1191.103,348.19168
3,12,1008.1451416015625,262.19744873046875,31.485779,84.54033,0.8135143,player,992.4022,219.92729,1023.888,304.46762
3,13,731.5560302734375,510.0332946777344,54.432068,108.620056,0.6493628,player,704.33997,455.72327,758.77203,564.3433
3,14,877.4469604492188,241.0439453125,45.310547,81.38977,0.7895546,player,854.7917,200.34906,900.10223,281.73883
3,15,1175.4881591796875,143.48045349121094,30.88379,66.06061,0.8143021,player,1160.0463,110.45015,1190.93,176.51076
3,16,426.38525390625,176.57376098632812,40.214905,61.076157,0.76218057,player,406.2778,146.03569,446.4927,207.11185
3,17,240.37448120117188,73.5074462890625,42.780884,66.60337,0.7304115,referee,218.98404,40.205757,261.76492,106.80913
3,18,901.6605224609375,319.71697998046875,46.814697,82.6998,0.7499865,player,878.2532,278.36707,925.0679,361.06686
4,1,1183.320556640625,831.33447265625,57.124146,135.35101,0.8850451,player,1154.7585,763.659,1211.8827,899.01
4,2,1491.487060546875,601.0084228515625,57.626953,107.797,0.80936587,referee,1462.6736,547.1099,1520.3005,654.9069
4,3,1043.2073974609375,459.732421875,48.519836,98.59512,0.90891564,player,1018.94745,410.43484,1067.4673,509.02997
4,4,632.482421875,617.9132080078125,61.61444,105.714294,0.8627975,player,601.6752,565.0561,663.2896,670.7704
4,5,597.4276733398438,450.6039733886719,66.00818,101.72772,0.85527647,player,564.4236,399.7401,630.43176,501.46783
4,6,1415.3980712890625,393.14019775390625,40.78662,101.22098,0.8733531,player,1395.0048,342.5297,1435.7914,443.75067
4,7,1757.5611572265625,347.9453125,37.329834,98.73477,0.87220585,player,1738.8962,298.5779,1776.2261,397.31268
4,8,496.4930419921875,343.701171875,41.008057,94.007355,0.84623027,player,475.989,296.69748,516.9971,390.70483
